"gene_id","Brain - Cortex","Prostate","Minor Salivary Gland","Lung","Brain - Spinal cord (cervical c-1)","Heart - Left Ventricle","Kidney - Medulla","Esophagus - Muscularis","Stomach - Mucosa","Small Intestine - Terminal Ileum - Lymphoid Aggregate","Cells - EBV-transformed lymphocytes","Nerve - Tibial","Uterus","Artery - Tibial","Brain - Substantia nigra","Small Intestine - Terminal Ileum","Cervix - Endocervix","Kidney - Cortex","Liver - Hepatocyte","Colon - Sigmoid","Small Intestine - Terminal Ileum - Mixed Cell","Pancreas - Islets","Brain - Anterior cingulate cortex (BA24)","Artery - Aorta","Brain - Nucleus accumbens (basal ganglia)","Brain - Hippocampus","Esophagus - Gastroesophageal Junction","Brain - Cerebellar Hemisphere","Colon - Transverse - Mucosa","Liver","Vagina","Ovary","Brain - Frontal Cortex (BA9)","Pancreas","Muscle - Skeletal","Liver - Portal Tract","Brain - Cerebellum","Stomach - Muscularis","Adipose - Visceral (Omentum)","Skin - Not Sun Exposed (Suprapubic)","Brain - Caudate (basal ganglia)","Stomach - Mixed Cell","Breast - Mammary Tissue","Thyroid","Brain - Putamen (basal ganglia)","Pituitary","Cervix - Ectocervix","Cells - Cultured fibroblasts","Pancreas - Acini","Colon - Transverse - Mixed Cell","Heart - Atrial Appendage","Liver - Mixed Cell","Whole Blood","Artery - Coronary","Brain - Hypothalamus","Testis","Brain - Amygdala","Colon - Transverse - Muscularis","Pancreas - Mixed Cell","Stomach","Adrenal Gland","Skin - Sun Exposed (Lower leg)","Spleen","Adipose - Subcutaneous","Bladder","Esophagus - Mucosa","Colon - Transverse","Fallopian Tube"
"ENSG00000059573","ENST00000371224","ENST00000371224","ENST00000371224","ENST00000371224","ENST00000371224","ENST00000371224","ENST00000371224","ENST00000371224","ENST00000371224","ENST00000371224","ENST00000371224","ENST00000371224","ENST00000371224","ENST00000371224","ENST00000371224","ENST00000371221","ENST00000371224","ENST00000371224","ENST00000371224","ENST00000371224","ENST00000371221","ENST00000371224","ENST00000371224","ENST00000371224","ENST00000371224","ENST00000371224","ENST00000371224","ENST00000371224","ENST00000371221","ENST00000371224","ENST00000371224","ENST00000371224","ENST00000371224","ENST00000371224","ENST00000371224","ENST00000371224","ENST00000371224","ENST00000371224","ENST00000371224","ENST00000371224","ENST00000371224","ENST00000371224","ENST00000371224","ENST00000371224","ENST00000371224","ENST00000371224","ENST00000371224","ENST00000371224","ENST00000371224","ENST00000371221","ENST00000371224","ENST00000371224","ENST00000371224","ENST00000371224","ENST00000371224","ENST00000371224","ENST00000371224","ENST00000371224","ENST00000371224","ENST00000371224","ENST00000371224","ENST00000371224","ENST00000371224","ENST00000371224","ENST00000371224","ENST00000371224","ENST00000371221","ENST00000371224"
"ENSG00000063176",NA,NA,"ENST00000245222",NA,NA,NA,NA,NA,"ENST00000599748",NA,NA,NA,NA,NA,"ENST00000599748",NA,"ENST00000245222",NA,"ENST00000599748",NA,NA,NA,"ENST00000599748",NA,NA,"ENST00000599748",NA,NA,"ENST00000599748","ENST00000599748","ENST00000245222",NA,"ENST00000599748","ENST00000245222",NA,NA,NA,NA,NA,"ENST00000245222",NA,NA,NA,NA,NA,NA,"ENST00000245222",NA,"ENST00000245222","ENST00000599748","ENST00000245222",NA,"ENST00000245222",NA,"ENST00000599748","ENST00000599748",NA,NA,"ENST00000245222",NA,NA,"ENST00000245222","ENST00000245222",NA,NA,"ENST00000245222",NA,NA
"ENSG00000064012","ENST00000323492","ENST00000323492",NA,"ENST00000323492","ENST00000323492","ENST00000323492","ENST00000323492",NA,"ENST00000323492","ENST00000323492","ENST00000323492",NA,NA,"ENST00000358485","ENST00000323492","ENST00000323492",NA,"ENST00000323492","ENST00000323492",NA,"ENST00000323492",NA,"ENST00000323492",NA,"ENST00000323492","ENST00000323492",NA,"ENST00000323492","ENST00000323492","ENST00000323492",NA,NA,"ENST00000323492",NA,NA,"ENST00000323492","ENST00000323492",NA,NA,NA,"ENST00000323492","ENST00000323492",NA,NA,"ENST00000323492","ENST00000323492",NA,NA,"ENST00000323492","ENST00000323492",NA,"ENST00000323492","ENST00000323492",NA,"ENST00000323492","ENST00000323492","ENST00000323492",NA,"ENST00000323492",NA,"ENST00000323492",NA,"ENST00000323492",NA,NA,NA,"ENST00000323492",NA
"ENSG00000066813",NA,NA,NA,"ENST00000414188",NA,NA,NA,"ENST00000414188",NA,"ENST00000414188",NA,NA,NA,NA,NA,"ENST00000414188",NA,NA,NA,"ENST00000414188","ENST00000565322","ENST00000565322",NA,NA,NA,NA,"ENST00000414188",NA,NA,NA,"ENST00000414188",NA,NA,NA,NA,"ENST00000565322","ENST00000565322","ENST00000414188",NA,NA,NA,NA,NA,"ENST00000414188",NA,NA,NA,NA,"ENST00000414188","ENST00000565322","ENST00000414188",NA,NA,NA,NA,"ENST00000414188",NA,"ENST00000414188","ENST00000329697",NA,"ENST00000414188",NA,NA,NA,"ENST00000414188",NA,"ENST00000414188",NA
"ENSG00000069998","ENST00000336737","ENST00000336737","ENST00000336737","ENST00000336737","ENST00000336737","ENST00000336737","ENST00000336737","ENST00000336737","ENST00000336737","ENST00000336737","ENST00000336737","ENST00000336737","ENST00000336737","ENST00000336737","ENST00000336737","ENST00000336737","ENST00000336737","ENST00000336737","ENST00000336737","ENST00000336737","ENST00000336737",NA,"ENST00000336737","ENST00000336737","ENST00000336737","ENST00000336737","ENST00000336737","ENST00000336737","ENST00000336737","ENST00000336737","ENST00000336737","ENST00000336737","ENST00000336737","ENST00000336737","ENST00000336737","ENST00000336737","ENST00000336737","ENST00000336737","ENST00000336737","ENST00000336737","ENST00000336737","ENST00000336737","ENST00000336737","ENST00000336737","ENST00000336737","ENST00000336737","ENST00000336737","ENST00000336737","ENST00000155674","ENST00000336737","ENST00000336737","ENST00000336737","ENST00000336737","ENST00000336737","ENST00000336737","ENST00000336737","ENST00000336737","ENST00000336737","ENST00000336737","ENST00000336737","ENST00000336737","ENST00000336737","ENST00000336737","ENST00000336737","ENST00000336737","ENST00000336737","ENST00000336737","ENST00000336737"
"ENSG00000073578","ENST00000510361","ENST00000510361","ENST00000264932",NA,"ENST00000510361","ENST00000264932",NA,NA,"ENST00000510361","ENST00000510361","ENST00000264932","ENST00000510361",NA,NA,NA,NA,NA,NA,"ENST00000510361",NA,"ENST00000510361","ENST00000510361","ENST00000510361",NA,"ENST00000510361","ENST00000510361",NA,"ENST00000510361","ENST00000510361",NA,NA,NA,"ENST00000510361","ENST00000264932","ENST00000264932","ENST00000510361","ENST00000510361","ENST00000510361",NA,NA,"ENST00000510361",NA,NA,NA,"ENST00000510361","ENST00000510361",NA,"ENST00000264932",NA,"ENST00000510361","ENST00000264932",NA,"ENST00000264932",NA,"ENST00000510361",NA,"ENST00000510361","ENST00000510361",NA,"ENST00000264932","ENST00000264932",NA,"ENST00000510361",NA,NA,NA,NA,NA
"ENSG00000075415","ENST00000547534","ENST00000547534","ENST00000547534","ENST00000547534","ENST00000547534","ENST00000551917","ENST00000547534","ENST00000547534","ENST00000547534","ENST00000547534","ENST00000547534","ENST00000547534","ENST00000547534","ENST00000547534","ENST00000547534","ENST00000547534","ENST00000547534","ENST00000547534","ENST00000547534","ENST00000547534","ENST00000547534","ENST00000547534","ENST00000547534","ENST00000547534","ENST00000547534","ENST00000547534","ENST00000547534",NA,"ENST00000547534","ENST00000547534","ENST00000547534","ENST00000547534","ENST00000547534","ENST00000547534","ENST00000551917","ENST00000547534",NA,"ENST00000547534","ENST00000547534","ENST00000547534","ENST00000547534","ENST00000547534","ENST00000547534","ENST00000547534","ENST00000547534","ENST00000547534","ENST00000547534","ENST00000547534","ENST00000547534","ENST00000547534","ENST00000551917","ENST00000547534","ENST00000547534","ENST00000547534","ENST00000547534","ENST00000547534","ENST00000547534","ENST00000547534","ENST00000547534","ENST00000547534","ENST00000547534","ENST00000547534","ENST00000547534","ENST00000547534","ENST00000547534","ENST00000547534","ENST00000547534","ENST00000547534"
"ENSG00000076248","ENST00000336865","ENST00000336865","ENST00000336865","ENST00000336865","ENST00000336865","ENST00000336865","ENST00000336865","ENST00000336865","ENST00000336865",NA,"ENST00000242576","ENST00000336865","ENST00000336865","ENST00000336865","ENST00000336865","ENST00000336865","ENST00000336865","ENST00000336865","ENST00000336865","ENST00000336865",NA,"ENST00000336865","ENST00000336865","ENST00000336865","ENST00000336865","ENST00000336865","ENST00000336865","ENST00000336865",NA,"ENST00000336865","ENST00000336865","ENST00000336865","ENST00000336865","ENST00000336865","ENST00000336865","ENST00000336865","ENST00000336865","ENST00000336865","ENST00000336865","ENST00000336865","ENST00000336865","ENST00000336865","ENST00000336865","ENST00000336865","ENST00000336865","ENST00000336865","ENST00000336865",NA,NA,"ENST00000336865","ENST00000336865","ENST00000336865",NA,"ENST00000336865","ENST00000336865","ENST00000242576","ENST00000336865","ENST00000336865","ENST00000336865","ENST00000336865","ENST00000336865","ENST00000336865","ENST00000336865","ENST00000336865","ENST00000336865","ENST00000336865","ENST00000336865","ENST00000336865"
"ENSG00000082212","ENST00000321341","ENST00000321341",NA,"ENST00000321341",NA,"ENST00000382927","ENST00000321341","ENST00000321341","ENST00000321341","ENST00000321341","ENST00000382927","ENST00000321341","ENST00000321341","ENST00000321341","ENST00000321341","ENST00000321341","ENST00000321341",NA,"ENST00000321341","ENST00000321341","ENST00000321341","ENST00000321341","ENST00000321341","ENST00000321341","ENST00000321341","ENST00000321341","ENST00000321341","ENST00000321341","ENST00000321341",NA,"ENST00000321341","ENST00000321341","ENST00000321341",NA,"ENST00000321341","ENST00000321341","ENST00000321341","ENST00000321341",NA,"ENST00000321341","ENST00000321341","ENST00000321341","ENST00000321341","ENST00000321341","ENST00000321341","ENST00000321341","ENST00000321341","ENST00000382927","ENST00000321341","ENST00000321341","ENST00000382927","ENST00000382927","ENST00000321341","ENST00000321341","ENST00000321341",NA,"ENST00000321341","ENST00000321341",NA,NA,NA,"ENST00000321341","ENST00000321341","ENST00000321341","ENST00000321341",NA,"ENST00000321341","ENST00000321341"
"ENSG00000083099","ENST00000523377","ENST00000523377",NA,NA,"ENST00000523377","ENST00000523377","ENST00000523377","ENST00000523377","ENST00000523377","ENST00000523377",NA,"ENST00000523377",NA,NA,"ENST00000523377",NA,"ENST00000523377","ENST00000523377","ENST00000523377","ENST00000523377",NA,"ENST00000523377","ENST00000523377","ENST00000523377","ENST00000523377","ENST00000523377","ENST00000523377","ENST00000523377",NA,"ENST00000523377",NA,"ENST00000523377","ENST00000523377","ENST00000523377",NA,"ENST00000523377","ENST00000523377","ENST00000523377",NA,NA,"ENST00000523377","ENST00000523377",NA,"ENST00000523377","ENST00000523377","ENST00000523377","ENST00000523377","ENST00000520318","ENST00000523377",NA,"ENST00000523377","ENST00000523377","ENST00000523377","ENST00000523377","ENST00000523377",NA,"ENST00000523377","ENST00000523377","ENST00000523377","ENST00000523377",NA,NA,"ENST00000523377",NA,NA,NA,NA,"ENST00000523377"
